seed,cohort,evaluator,method,client,score
4103,D,sample_frequency,shapley,29,0.010321266026105483
4103,D,sample_frequency,shapley,30,0.009716721838268882
4103,D,sample_frequency,leave_one_out,27,0.0003156516843307866
4103,D,sample_frequency,leave_one_out,28,-0.0012205653359295132
4103,D,sample_frequency,leave_one_out,29,0.003384728179957386
4103,D,sample_frequency,leave_one_out,30,0.0006108854540840536
4103,D,sample_frequency,data_size,27,0.2531986531986532
4103,D,sample_frequency,data_size,28,0.2572390572390572
4103,D,sample_frequency,data_size,29,0.23164983164983166
4103,D,sample_frequency,data_size,30,0.2579124579124579
4103,D,equal_class,shapley,27,0.011432770556550545
4103,D,equal_class,shapley,28,0.0054249518452100425
4103,D,equal_class,shapley,29,0.005271745418538142
4103,D,equal_class,shapley,30,0.010475441861041712
4103,D,equal_class,leave_one_out,27,0.0008389537762442112
4103,D,equal_class,leave_one_out,28,0.0012606832426099723
4103,D,equal_class,leave_one_out,29,0.0007972365631512268
4103,D,equal_class,leave_one_out,30,0.0006440165297254552
4103,D,equal_class,data_size,27,0.2531986531986532
4103,D,equal_class,data_size,28,0.2572390572390572
4103,D,equal_class,data_size,29,0.23164983164983166
4103,D,equal_class,data_size,30,0.2579124579124579
4103,D,equal_subject,shapley,27,0.009533904738236825
4103,D,equal_subject,shapley,28,0.00072632389803969
4103,D,equal_subject,shapley,29,0.010543625083080672
4103,D,equal_subject,shapley,30,0.009697522732072953
4103,D,equal_subject,leave_one_out,27,0.00024346544541364867
4103,D,equal_subject,leave_one_out,28,-0.001291580236736145
4103,D,equal_subject,leave_one_out,29,0.0035371483498517486
4103,D,equal_subject,leave_one_out,30,0.0006182285742907245
4103,D,equal_subject,data_size,27,0.2531986531986532
4103,D,equal_subject,data_size,28,0.2572390572390572
4103,D,equal_subject,data_size,29,0.23164983164983166
4103,D,equal_subject,data_size,30,0.2579124579124579
4104,A,sample_frequency,shapley,3,0.0068936540182968084
4104,A,sample_frequency,shapley,5,0.007342538514780441
4104,A,sample_frequency,shapley,6,0.004435061005030337
4104,A,sample_frequency,shapley,8,0.01020397934704001
4104,A,sample_frequency,leave_one_out,3,-0.000794525374769206
4104,A,sample_frequency,leave_one_out,5,0.00024103100977790337
4104,A,sample_frequency,leave_one_out,6,-0.0014236974866173036
4104,A,sample_frequency,leave_one_out,8,0.0037278862266506563
4104,A,sample_frequency,data_size,3,0.27301841473178545
4104,A,sample_frequency,data_size,5,0.24179343474779824
4104,A,sample_frequency,data_size,6,0.2602081665332266
4104,A,sample_frequency,data_size,8,0.22497998398718974
4104,A,equal_class,shapley,3,0.00900349261157001
4104,A,equal_class,shapley,5,0.0078346200819333
4104,A,equal_class,shapley,6,0.008754302397287575
4104,A,equal_class,shapley,8,0.006374822446443746
4104,A,equal_class,leave_one_out,3,-0.0001456267027324376
4104,A,equal_class,leave_one_out,5,8.625744522905432e-05
4104,A,equal_class,leave_one_out,6,0.0005283537358355961
4104,A,equal_class,leave_one_out,8,0.0016298120608537747
4104,A,equal_class,data_size,3,0.27301841473178545
4104,A,equal_class,data_size,5,0.24179343474779824
4104,A,equal_class,data_size,6,0.2602081665332266
4104,A,equal_class,data_size,8,0.22497998398718974
4104,A,equal_subject,shapley,3,0.006865527595670301
4104,A,equal_subject,shapley,5,0.0073341849298293555
4104,A,equal_subject,shapley,6,0.004341558506700565
4104,A,equal_subject,shapley,8,0.010307822177497974
4104,A,equal_subject,leave_one_out,3,-0.0008131239464796991
4104,A,equal_subject,leave_one_out,5,0.00024594596520777223
4104,A,equal_subject,leave_one_out,6,-0.0014682814152633394
4104,A,equal_subject,leave_one_out,8,0.003803097854409465
4104,A,equal_subject,data_size,3,0.27301841473178545
4104,A,equal_subject,data_size,5,0.24179343474779824
4104,A,equal_subject,data_size,6,0.2602081665332266
4104,A,equal_subject,data_size,8,0.22497998398718974
4104,B,sample_frequency,shapley,11,0.008827638363985792
4104,B,sample_frequency,shapley,14,0.003641838078194162
4104,B,sample_frequency,shapley,16,0.005620375147195859
4104,B,sample_frequency,shapley,17,0.007396494413539068
4104,B,sample_frequency,leave_one_out,11,0.002391819968810882
4104,B,sample_frequency,leave_one_out,14,-0.00044831399802935934
4104,B,sample_frequency,leave_one_out,16,-0.0008526861877390379
4104,B,sample_frequency,leave_one_out,17,0.00016139369596313013
4104,B,sample_frequency,data_size,11,0.23015294974508377
4104,B,sample_frequency,data_size,14,0.23525127458120904
4104,B,sample_frequency,data_size,16,0.26656955571740715
4104,B,sample_frequency,data_size,17,0.26802621995630005
4104,B,equal_class,shapley,11,0.012295722846957511
4104,B,equal_class,shapley,14,0.002155518274409185
4104,B,equal_class,shapley,16,0.004882409140838836
4104,B,equal_class,shapley,17,0.005914453673278512
4104,B,equal_class,leave_one_out,11,0.004319458719394431
4104,B,equal_class,leave_one_out,14,-0.0010428367722951082
4104,B,equal_class,leave_one_out,16,-0.001275936213704587
4104,B,equal_class,leave_one_out,17,-0.0006706631368529337
4104,B,equal_class,data_size,11,0.23015294974508377
4104,B,equal_class,data_size,14,0.23525127458120904
4104,B,equal_class,data_size,16,0.26656955571740715
4104,B,equal_class,data_size,17,0.26802621995630005
4104,B,equal_subject,shapley,11,0.008886185565284976
4104,B,equal_subject,shapley,14,0.0036273091529826873
4104,B,equal_subject,shapley,16,0.005800407978107268
4104,B,equal_subject,shapley,17,0.007432878987131816
4104,B,equal_subject,leave_one_out,11,0.002404963546529637
4104,B,equal_subject,leave_one_out,14,-0.0004844487690069954
4104,B,equal_subject,leave_one_out,16,-0.0007950690498169655
4104,B,equal_subject,leave_one_out,17,0.00013722720765607654
4104,B,equal_subject,data_size,11,0.23015294974508377
4104,B,equal_subject,data_size,14,0.23525127458120904
4104,B,equal_subject,data_size,16,0.26656955571740715
4104,B,equal_subject,data_size,17,0.26802621995630005
4104,C,sample_frequency,shapley,19,0.0002666593633720573
