seed,cohort,evaluator,method,client,share,uniform_fallback
4103,B,equal_class,shapley,14,0.05767968421498265,False
4103,B,equal_class,shapley,16,0.11378793690980553,False
4103,B,equal_class,shapley,17,0.37214574002014184,False
4103,B,equal_class,leave_one_out,11,0.4534946281765209,False
4103,B,equal_class,leave_one_out,14,0.0,False
4103,B,equal_class,leave_one_out,16,0.0,False
4103,B,equal_class,leave_one_out,17,0.546505371823479,False
4103,B,equal_class,data_size,11,0.23015294974508377,False
4103,B,equal_class,data_size,14,0.23525127458120904,False
4103,B,equal_class,data_size,16,0.26656955571740715,False
4103,B,equal_class,data_size,17,0.26802621995630005,False
4103,B,equal_subject,shapley,11,0.4662408833374775,False
4103,B,equal_subject,shapley,14,0.0,False
4103,B,equal_subject,shapley,16,0.0193694728511263,False
4103,B,equal_subject,shapley,17,0.5143896438113963,False
4103,B,equal_subject,leave_one_out,11,0.36298475129628216,False
4103,B,equal_subject,leave_one_out,14,0.0,False
4103,B,equal_subject,leave_one_out,16,0.0,False
4103,B,equal_subject,leave_one_out,17,0.6370152487037178,False
4103,B,equal_subject,data_size,11,0.23015294974508377,False
4103,B,equal_subject,data_size,14,0.23525127458120904,False
4103,B,equal_subject,data_size,16,0.26656955571740715,False
4103,B,equal_subject,data_size,17,0.26802621995630005,False
4103,C,sample_frequency,shapley,19,0.16441613366770846,False
4103,C,sample_frequency,shapley,22,0.28795411241876745,False
4103,C,sample_frequency,shapley,23,0.26481488886029875,False
4103,C,sample_frequency,shapley,25,0.28281486505322534,False
4103,C,sample_frequency,leave_one_out,19,0.0,False
4103,C,sample_frequency,leave_one_out,22,0.43976187468328315,False
4103,C,sample_frequency,leave_one_out,23,0.3091100497913626,False
4103,C,sample_frequency,leave_one_out,25,0.25112807552535427,False
4103,C,sample_frequency,data_size,19,0.24623803009575923,False
4103,C,sample_frequency,data_size,22,0.21956224350205197,False
4103,C,sample_frequency,data_size,23,0.25444596443228457,False
4103,C,sample_frequency,data_size,25,0.27975376196990426,False
4103,C,equal_class,shapley,19,0.1986867407436663,False
4103,C,equal_class,shapley,22,0.20538597421485472,False
4103,C,equal_class,shapley,23,0.3659133503662911,False
4103,C,equal_class,shapley,25,0.23001393467518783,False
4103,C,equal_class,leave_one_out,19,0.0,False
4103,C,equal_class,leave_one_out,22,0.21906553017961583,False
4103,C,equal_class,leave_one_out,23,0.7478116482656529,False
4103,C,equal_class,leave_one_out,25,0.033122821554731216,False
4103,C,equal_class,data_size,19,0.24623803009575923,False
4103,C,equal_class,data_size,22,0.21956224350205197,False
4103,C,equal_class,data_size,23,0.25444596443228457,False
4103,C,equal_class,data_size,25,0.27975376196990426,False
4103,C,equal_subject,shapley,19,0.15193514257274143,False
4103,C,equal_subject,shapley,22,0.28691083149236796,False
4103,C,equal_subject,shapley,23,0.2662517203343562,False
4103,C,equal_subject,shapley,25,0.2949023056005345,False
4103,C,equal_subject,leave_one_out,19,0.0,False
4103,C,equal_subject,leave_one_out,22,0.4154465602186819,False
4103,C,equal_subject,leave_one_out,23,0.2990251121648719,False
4103,C,equal_subject,leave_one_out,25,0.2855283276164462,False
4103,C,equal_subject,data_size,19,0.24623803009575923,False
4103,C,equal_subject,data_size,22,0.21956224350205197,False
